"Country_Region","country_lat","country_long","country_cases","country_deaths","country_incident_rate","country_fatality_ratio","Last_Update","Alcoholic.Beverages","Animal.fats","Animal.Products","Aquatic.Products..Other","Cereals...Excluding.Beer","Eggs","Fish..Seafood","Fruits...Excluding.Wine","Meat","Milk...Excluding.Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy.Roots","Stimulants","Sugar...Sweeteners","Sugar.Crops","Treenuts","Vegetable.Oils","Vegetables","Vegetal.Products","Obesity","Undernourished","Population"
"Malawi",-13.2543,34.3015,85033,2598,444.501829722025,0.0305528441899027,"2022-02-15 04:21:09",1.1827,0.0814,2.7754,0,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.0396,0.1695,0.5436,1.1841,0.0139,20.2901,0.0389,0.6412,0,0.0161,0.204,3.9786,47.2242,4.7,"17.5",18629000
"Malaysia",4.1359,104.07559375,3064575,32149,9102.16992240918,0.010490524787287,"2022-02-15 04:21:09",0.8948,0.0882,12.6354,0.0204,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,0.1541,0.0789,0.5801,0.2617,0.4502,1.6568,0.1012,3.903,0,0.0835,1.6336,6.1678,37.3632,15.3,"2.5",32753000
"Maldives",3.2028,73.2207,160076,289,29613.9800422539,0.00180539243859167,"2022-02-15 04:21:09",0.6859,0.0029,14.2704,0.0068,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,3.0315,0.0019,0.2082,0.0808,0.3434,1.6403,0.396,2.979,0.1002,0.7569,0.1819,7.718,35.7208,7.9,"10.3",535000
"Mali",17.570692,-3.996166,30266,716,149.455573039609,0.0236569087424833,"2022-02-15 04:21:09",2.8904,0.0444,10.1637,0,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0,0.2374,0.5144,7.2943,39.8262,7.1,"6.3",19658000
"Malta",35.9375,14.3754,70089,592,15873.7959727227,0.00844640385795203,"2022-02-15 04:21:09",3.9051,0.2062,13.6092,0.0017,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0,0.1236,0.486,11.2856,36.3899,31,"<2.5",5e+05
"Mauritania",21.0079,-10.9408,58575,973,1259.76953153564,0.0166111822449851,"2022-02-15 04:21:09",0.0055,0.1127,15.0193,0,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,0.7519,0.4279,0.0799,1.0999,0.0066,1.0168,0.3677,4.3166,0,0,1.5716,3.9784,34.9779,11.3,"10.4",4526000
"Mauritius",-20.348404,57.552152,70862,786,5571.93259457118,0.0110919815980356,"2022-02-15 04:21:09",3.0805,0.0074,9.27,0.0102,17.1855,0.591,2.1303,3.568,4.6992,1.7166,1.0545,0.1173,0.4479,0.856,0.1847,1.8348,0.1625,3.568,0,0.0369,2.049,6.7122,40.7175,11.5,"6.5",1266000
"Mexico",21.720234375,-100.5272875,5292706,312819,4362.85555750564,0.0591037930313907,"2022-02-15 04:21:09",4.4105,0.1672,15.1527,0.0201,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,0.0275,0.3552,0.1947,0.7071,0.1121,1.1644,0.0248,3.2266,0,0.1121,0.6856,5.0713,34.8456,28.4,"3.6",126577000
"Moldova",47.4116,28.3699,485563,10962,12036.8729212439,0.0225758552443246,"2022-02-15 04:21:09",3.8296,0.4339,16.5343,0,11.6462,0.6795,0.991,3.4256,3.2622,10.9992,0.5083,0.1694,0.0616,0.0642,0.0068,3.9066,0.083,2.6632,0,0.018,0.825,6.4285,33.464,20.1,NA,3543000
"Mongolia",46.8625,103.8467,885554,2148,27012.6639115735,0.00242560024572189,"2022-02-15 04:21:09",3.143,0.3846,25.8904,0,10.1415,0.3727,0.044,1.0413,8.0929,15.856,0.5962,1.1411,0.0266,0.0366,0.0037,2.6155,0.1401,1.468,0,0.0137,0.555,4.3326,24.1046,19.6,"13.4",3269000
