"Country_Region","country_lat","country_long","country_cases","country_deaths","country_incident_rate","country_fatality_ratio","Last_Update","Alcoholic.Beverages","Animal.fats","Animal.Products","Aquatic.Products..Other","Cereals...Excluding.Beer","Eggs","Fish..Seafood","Fruits...Excluding.Wine","Meat","Milk...Excluding.Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy.Roots","Stimulants","Sugar...Sweeteners","Sugar.Crops","Treenuts","Vegetable.Oils","Vegetables","Vegetal.Products","Obesity","Undernourished","Population"
"Sri Lanka",7.873054,80.771797,629347,15844,2939.05409034126,0.0251753007482359,"2022-02-15 04:21:09",0.681,0.0147,5.5328,0.0039,20.7839,0.4178,3.0173,4.1171,0.8845,1.0948,0.0303,0.0998,7.1364,0.9608,0.5244,1.9793,0.2818,2.7209,0,0.135,0.2466,4.8753,44.4618,5.4,"9",21898000
"Sudan",12.8628,30.2176,59903,3831,136.611171328763,0.0639533913159608,"2022-02-15 04:21:09",0,0.0958,13.1178,0,12.9192,0.1176,0.1018,7.0919,2.1133,10.4116,0.0741,0.2796,0.492,1.0631,0.0405,1.9167,0.1502,3.1231,0.7262,0,0.9366,8.3477,36.8813,7.4,"20.1",42813000
"Suriname",3.9193,-56.0278,77203,1303,13160.3350641115,0.0168775824773649,"2022-02-15 04:21:09",4.1704,0.0438,6.7984,0,13.9476,0.5407,1.4348,8.6872,3.6451,1.0789,1.2414,0.0576,0.6757,0.1719,0.0224,2.4553,0.0903,4.7051,0.3207,0.0155,1.3351,5.3705,43.1917,26.5,"8.5",602000
"Sweden",59.6806428571429,15.736519047619,2397330,16501,22504.9004483468,0.006883074086588,"2022-02-15 04:21:09",4.4232,1.0442,24.0627,0,6.1923,0.7266,1.7659,3.5405,4.1476,16.3687,0.4623,0.0086,0.1712,0.0937,0.0484,2.8343,0.5533,2.5211,0,0.0996,0.3967,4.611,25.9282,22.1,"<2.5",10286000
"Switzerland",46.8182,8.2275,2586724,12963,29888.3671122168,0.00501135799567329,"2022-02-15 04:21:09",4.9978,0.4802,22.4227,0.0022,5.9818,0.5377,0.9109,4.6041,3.6314,16.706,0,0.1549,0.1124,0.0995,0.0382,2.1542,0.3727,2.9737,0,0.2377,1.0637,4.9478,27.5705,21.2,"<2.5",8572000
"Taiwan*",23.7,121,19621,851,82.3831102237813,0.0433718974568065,"2022-02-15 04:21:09",2.7663,0.1577,12.1312,0.0281,10.0808,1.09,2.3182,8.3904,6.0558,2.3299,0.1874,0.1507,1.0736,0.2077,0.1023,0.8565,0.1374,2.3455,0.2826,0.4185,1.8271,9.1938,37.8684,NA,"3.5",23593000
"Tajikistan",38.861,71.2761,17773,125,186.345849424837,0.00703314015641704,"2022-02-15 04:21:09",0.1423,0.0018,7.2363,0,13.3691,0.2255,0.0342,3.7863,1.5221,5.2373,0.2089,0.2144,0.1349,0.2486,0.0305,2.9278,0.0555,1.6607,0,0.0582,0.8419,19.2995,42.7642,12.6,NA,9221000
"Tanzania",-6.369028,34.888822,33436,792,55.9746221148004,0.0236870439047733,"2022-02-15 04:21:09",4.5185,0.0403,4.8022,0,10.4453,0.03,0.5828,6.8147,0.7902,3.3606,0.0214,0,1.2839,2.1761,0.0274,13.937,0.03,1.0345,0,0.042,0.9136,3.952,45.1973,7.1,"30.7",58005000
"Thailand",15.870032,100.992541,2622600,22489,3757.30777450961,0.0085750781667048,"2022-02-15 04:21:09",3.6223,0.0902,7.7828,0.0325,17.5571,1.1143,2.6297,8.3291,2.4675,1.3279,0.009,0.1199,1.2775,0.2344,0.6626,1.8887,0.1262,4.0424,0,0.0938,0.7816,3.5962,42.2145,10.8,"7.8",66374000
"Timor-Leste",-8.874217,125.727539,21748,124,1649.52269421029,0.00570167371712341,"2022-02-15 04:21:09",0.4459,0.0897,5.4983,0,26.332,0.1025,1.0225,2.1027,4.0376,0.1307,0.8905,0.1153,0.5612,0.9098,0.05,5.5022,1.0136,2.8203,0,0.0013,0.6842,3.1867,44.503,2.9,"24.9",1293000
"Togo",8.6195,0.8248,36660,271,442.821169460994,0.00739225313693399,"2022-02-15 04:21:09",1.0144,0.0292,3.6702,0,15.8144,0.1067,1.3178,0.91,1.4133,0.7246,0.7448,0.0775,0.4718,1.7626,0.0595,20.0654,0.0843,1.8312,0,0,1.4099,2.1637,46.3287,7.1,"16.1",8082000
"Trinidad and Tobago",10.6918,-61.2225,120895,3531,8638.49785386258,0.0292071632408288,"2022-02-15 04:21:09",2.4881,0.2804,12.7835,0,13.0903,0.4044,2.3299,4.9733,6.7063,2.8789,0.2413,0.1837,1.2016,0.8939,0.2305,3.5148,0.0899,5.62,0,0.0928,1.2563,3.5256,37.2145,19.7,"5.5",1362000
"Tunisia",33.886917,9.537499,967052,27119,8182.44569711958,0.0280429594272076,"2022-02-15 04:21:09",0.7037,0.2083,9.6312,0,12.0523,0.4508,0.7615,5.4307,1.6411,6.4775,0.0116,0.0926,0.2031,0.4311,0.1065,1.7724,0.1979,2.0832,0,0.3489,1.2551,15.7731,40.3673,27.3,"4.3",11665000
"Turkey",38.9637,35.2433,12984953,90808,15396.1307160299,0.00699332527426168,"2022-02-15 04:21:09",0.6474,0.1459,12.3156,0,9.708,0.3956,0.2582,6.8321,2.0694,9.3619,0.0101,0.0857,0.272,0.682,0.1251,2.4947,0.2002,1.7004,0,0.4664,1.0174,13.5284,37.6836,32.2,"<2.5",82607000
"United States of America",37.9342687153772,-91.4440832804489,77918466,922470,23367.2289717048,0.0118389137691699,"2022-02-15 04:21:09",4.8647,0.1681,21.2352,0.002,5.5048,0.786,1.1287,4.5432,6.2645,12.8657,0,0.0197,0.3246,0.1893,0.049,2.839,0.2458,3.32,0,0.1772,0.9889,5.7249,28.7587,37.3,"<2.5",329153000
"Uganda",1.373333,32.290275,162822,3579,355.965107890077,0.0219810590706416,"2022-02-15 04:21:09",6.1671,0.0352,5.6473,0,6.748,0.0815,1.0442,11.3112,0.8978,3.4755,0.0371,0.113,0.6338,2.3942,0.012,12.361,0.013,1.2601,0,0,0.744,2.6703,44.3536,4.1,"41",44270000
"Ukraine",48.8454296296296,30.7812740740741,4753922,109788,11157.7547260167,0.0230941946460207,"2022-02-15 04:21:09",2.625,0.1753,13.1214,6e-04,9.3613,0.8434,0.6821,2.9418,2.7425,8.5442,0.007,0.1339,0.0175,0.1099,0.0111,7.6721,0.0883,3.8811,0,0.0807,0.647,9.4361,36.8777,26.1,"3.5",42037000
"United Arab Emirates",23.424076,53.847818,869428,2287,8790.62525277036,0.00263046508739079,"2022-02-15 04:21:09",0,0.1896,10.5491,0,12.906,0.5958,1.9682,8.1938,4.94,2.6468,0.9471,0.2095,0.6133,2.1108,0.3194,0.8937,0.1649,3.6576,0,0.5838,0.7949,8.2695,39.4461,29.9,"2.6",9586000
"United Kingdom",28.1646465333333,-33.9664977333333,18475373,160166,20542.6984194716,0.00866916191624386,"2022-02-15 04:21:09",5.2632,0.2754,18.8798,6e-04,6.5412,0.621,1.0911,4.9551,4.4181,12.3684,0.6658,0.1056,0.224,0.2035,0.0653,5.1133,0.2461,2.4383,0,0.0901,0.7372,4.5851,31.1116,29.5,"<2.5",66833000
"Uruguay",-32.5228,-55.7658,782556,6778,22527.8497705778,0.0086613609760835,"2022-02-15 04:21:09",3.5664,0.21,17.8865,0,10.251,0.7764,0.6058,5.3746,3.7863,12.3906,0.3918,0.1168,0.277,0.1936,0.0144,3.044,0.6169,3.4102,0,0.0131,1.0337,3.9333,32.1076,28.9,"<2.5",3519000
"Uzbekistan",41.377491,64.585262,233761,1604,698.436195022175,0.00686170918160001,"2022-02-15 04:21:09",0.6835,0.1353,14.4463,0,10.5365,0.3566,0.1218,5.215,1.8621,11.7952,0.04,0.1748,0.0287,0.0022,0.0038,2.8891,0.0644,0.5796,0,0.0649,0.6109,14.8354,35.554,15.3,"6.3",33471000
"Vanuatu",-15.3767,166.9592,7,1,2.3916905835725,0.142857142857143,"2022-02-15 04:21:09",0.2424,0.0793,6.6244,0,6.4102,0.1875,2.1649,5.8103,2.7466,1.2692,0.2882,0.1776,12.1763,8e-04,0.0374,12.7275,0.0305,1.3645,0,0.0038,0.3674,3.9175,43.3737,23.5,"7.2",313000
"Venezuela",6.4238,-66.5897,505947,5549,1779.25170267784,0.0109675519372583,"2022-02-15 04:21:09",2.5952,0.0403,14.7565,0,12.9253,0.3389,0.9456,7.646,3.8328,9.392,0.0702,0.2078,0.0281,0.3342,9e-04,2.5643,0.1479,3.4106,0,9e-04,1.3734,4.1474,35.2416,25.2,"21.2",28516000
"Vietnam",14.058324,108.277199,2540273,39037,2609.72876500575,0.0153672459613593,"2022-02-15 04:21:09",1.4591,0.164,8.5765,0.0042,16.874,0.3077,2.6392,5.9029,4.4382,0.6069,0.0126,0.4149,0.841,0.2032,0.2074,1.0596,0.288,1.2846,0.815,0.307,0.2201,11.9508,41.4232,2.1,"9.3",95656000
"Yemen",15.552727,48.516388,11679,2107,39.1571532565179,0.180409281616577,"2022-02-15 04:21:09",0.0364,0.0446,5.7874,0,27.2077,0.2579,0.524,5.1344,2.7871,1.8911,0.2033,0.2827,0.0893,0.8645,0.0347,1.0794,0.2199,5.0468,0,0.0017,1.0811,3.2135,44.2126,14.1,"38.9",29162000
"Zambia",-13.133897,27.849332,309579,3938,1683.96290765709,0.0127205010675789,"2022-02-15 04:21:09",5.736,0.0829,6.0197,0,21.1938,0.3399,1.6924,1.0183,1.8427,1.757,0.2149,0.3048,1.8736,0.1756,0.0478,7.9649,0.0618,1.5632,0,0.0014,0.6657,3.4649,43.9789,6.5,"46.7",17861000
"Zimbabwe",-19.015438,29.154857,231603,5374,1558.25968868716,0.0232034990911171,"2022-02-15 04:21:09",4.0552,0.0755,8.1489,0,22.624,0.2678,0.5518,2.2,2.6142,4.431,0.2012,0.2086,0.4498,0.4261,0.0252,2.987,0.1494,4.6485,0,0.0518,1.7103,2.3213,41.8526,12.3,"51.3",14645000
